Name,Objects,Nouns,Adjectives,Size_adjectives,size_noise,color_noise,noun_noise,adj_cost,noun_cost,alpha,global_inc,Language
exp_color_redundant_medium,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0,0,20,global,0
exp_color_redundant_medium,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,global,0
exp_color_redundant_medium,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,global,0
exp_color_redundant_medium,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0,0,20,global,0
exp_color_redundant_medium,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,global,0
exp_color_redundant_medium,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,global,0
exp_color_redundant_medium,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0,0,20,global,0
exp_color_redundant_medium,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,global,0
exp_color_redundant_medium,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,global,0
exp_size_redundant_medium,"['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0,0,20,global,0
exp_size_redundant_medium,"['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,global,0
exp_size_redundant_medium,"['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,global,0
exp_color_redundant_high,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0,0,20,global,0
exp_color_redundant_high,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,global,0
exp_color_redundant_high,"['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,global,0
exp_size_redundant_high,"['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0,0,20,global,0
exp_size_redundant_high,"['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,global,0
exp_size_redundant_high,"['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,global,0
