Name,Objects,Nouns,Adjectives,Size_adjectives,size_noise,color_noise,noun_noise,adj_cost,noun_cost,alpha,global_inc,Language
Basic_color_redundant,"['small blue pin', 'big blue pin', 'big red pin']",['pin'],"['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,1,0.1,0,7,inc,0
Basic_color_redundant,"['small blue pin', 'big blue pin', 'big red pin']",['pin'],"['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,1,0.1,0,7,inc,1
Basic_size_redundant,"['small blue pin', 'small red pin', 'big red pin']",['pin'],"['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,1,0.1,0,7,inc,0
Basic_size_redundant,"['small blue pin', 'small red pin', 'big red pin']",['pin'],"['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,1,0.1,0,7,inc,1
exp_color_redundant,"['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0.1,0.1,1,inc,0
exp_color_redundant,"['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0.1,0.1,1,inc,1
exp_color_redundant,"['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0.1,0.1,1,inc,2
exp_color_redundant,"['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0.1,0.1,1,inc,3
exp_color_redundant,"['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0,0,1,inc,0
exp_color_redundant,"['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0,0,1,inc,1
