Language,Semantics,Utility,Context,Utterance,Probability,UtteranceSpace,NounNoise
Vietnamese,Continuous,Incremental,3B,pin blue,0.152,full,0.99
Vietnamese,Continuous,Incremental,3B,pin small and blue,0.18,full,0.99
French,Continuous,Incremental,3B,pin blue and small,0.178,full,0.99
English,Discrete,Incremental,3B,pin,0.5,full,0.99
English,Discrete,Incremental,3B,small pin,0.25,full,0.99
English,Discrete,Incremental,3B,blue pin,0,full,0.99
English,Discrete,Incremental,3B,small blue pin,0.25,full,0.99
Spanish,Discrete,Incremental,3B,pin,0.333,full,0.99
Spanish,Discrete,Incremental,3B,pin small,0.333,full,0.99
Spanish,Discrete,Incremental,3B,pin blue,0.167,full,0.99
Spanish,Discrete,Incremental,3B,pin blue small,0.167,full,0.99
French,Discrete,Incremental,3B,pin,0.25,full,0.99
French,Discrete,Incremental,3B,small pin,0.25,full,0.99
French,Discrete,Incremental,3B,pin blue,0.25,full,0.99
French,Discrete,Incremental,3B,small pin blue,0.25,full,0.99
Vietnamese,Discrete,Incremental,3B,pin,0.333,full,0.99
Vietnamese,Discrete,Incremental,3B,pin small,0.167,full,0.99
Vietnamese,Discrete,Incremental,3B,pin blue,0.167,full,0.99
Vietnamese,Discrete,Incremental,3B,pin small and blue,0.167,full,0.99
French,Discrete,Incremental,3B,pin blue and small,0.167,full,0.99
English,Continuous,Global,3A,pin,0.605,pruned,0.99
English,Continuous,Global,3A,blue pin,0.395,pruned,0.99
Spanish,Continuous,Global,3A,pin,0.605,pruned,0.99
Spanish,Continuous,Global,3A,pin blue,0.395,pruned,0.99
French,Continuous,Global,3A,pin,0.605,pruned,0.99
French,Continuous,Global,3A,pin blue,0.395,pruned,0.99
Vietnamese,Continuous,Global,3A,pin,0.605,pruned,0.99
Vietnamese,Continuous,Global,3A,pin blue,0.395,pruned,0.99
English,Continuous,Incremental,3A,pin,0.451,pruned,0.99
English,Continuous,Incremental,3A,blue pin,0.549,pruned,0.99
Spanish,Continuous,Incremental,3A,pin,0.451,pruned,0.99
Spanish,Continuous,Incremental,3A,pin blue,0.549,pruned,0.99
French,Continuous,Incremental,3A,pin,0.451,pruned,0.99
French,Continuous,Incremental,3A,pin blue,0.549,pruned,0.99
Vietnamese,Continuous,Incremental,3A,pin,0.451,pruned,0.99
Vietnamese,Continuous,Incremental,3A,pin blue,0.549,pruned,0.99
English,Discrete,Global,3A,pin,0.5,pruned,0.99
English,Discrete,Global,3A,blue pin,0.5,pruned,0.99
Spanish,Discrete,Global,3A,pin,0.5,pruned,0.99
Spanish,Discrete,Global,3A,pin blue,0.5,pruned,0.99
French,Discrete,Global,3A,pin,0.5,pruned,0.99
French,Discrete,Global,3A,pin blue,0.5,pruned,0.99
Vietnamese,Discrete,Global,3A,pin,0.5,pruned,0.99
Vietnamese,Discrete,Global,3A,pin blue,0.5,pruned,0.99
English,Discrete,Incremental,3A,pin,0.5,pruned,0.99
English,Discrete,Incremental,3A,blue pin,0.5,pruned,0.99
Spanish,Discrete,Incremental,3A,pin,0.5,pruned,0.99
Spanish,Discrete,Incremental,3A,pin blue,0.5,pruned,0.99
French,Discrete,Incremental,3A,pin,0.5,pruned,0.99
French,Discrete,Incremental,3A,pin blue,0.5,pruned,0.99
Vietnamese,Discrete,Incremental,3A,pin,0.5,pruned,0.99
Vietnamese,Discrete,Incremental,3A,pin blue,0.5,pruned,0.99
English,Continuous,Global,3B,pin,0.891,pruned,0.99
English,Continuous,Global,3B,small pin,0.109,pruned,0.99
Spanish,Continuous,Global,3B,pin,0.891,pruned,0.99
Spanish,Continuous,Global,3B,pin small,0.109,pruned,0.99
French,Continuous,Global,3B,pin,0.891,pruned,0.99
French,Continuous,Global,3B,small pin,0.109,pruned,0.99
Vietnamese,Continuous,Global,3B,pin,0.891,pruned,0.99
Vietnamese,Continuous,Global,3B,pin small,0.109,pruned,0.99
English,Continuous,Incremental,3B,pin,0.461,pruned,0.99
English,Continuous,Incremental,3B,small pin,0.539,pruned,0.99
Spanish,Continuous,Incremental,3B,pin,0.461,pruned,0.99
Spanish,Continuous,Incremental,3B,pin small,0.539,pruned,0.99
French,Continuous,Incremental,3B,pin,0.461,pruned,0.99
French,Continuous,Incremental,3B,small pin,0.539,pruned,0.99
Vietnamese,Continuous,Incremental,3B,pin,0.461,pruned,0.99
Vietnamese,Continuous,Incremental,3B,pin small,0.539,pruned,0.99
English,Discrete,Global,3B,pin,0.5,pruned,0.99
English,Discrete,Global,3B,small pin,0.5,pruned,0.99
Spanish,Discrete,Global,3B,pin,0.5,pruned,0.99
Spanish,Discrete,Global,3B,pin small,0.5,pruned,0.99
French,Discrete,Global,3B,pin,0.5,pruned,0.99
French,Discrete,Global,3B,small pin,0.5,pruned,0.99
Vietnamese,Discrete,Global,3B,pin,0.5,pruned,0.99
Vietnamese,Discrete,Global,3B,pin small,0.5,pruned,0.99
English,Discrete,Incremental,3B,pin,0.5,pruned,0.99
English,Discrete,Incremental,3B,small pin,0.5,pruned,0.99
Spanish,Discrete,Incremental,3B,pin,0.5,pruned,0.99
Spanish,Discrete,Incremental,3B,pin small,0.5,pruned,0.99
French,Discrete,Incremental,3B,pin,0.5,pruned,0.99
French,Discrete,Incremental,3B,small pin,0.5,pruned,0.99
Vietnamese,Discrete,Incremental,3B,pin,0.5,pruned,0.99
Vietnamese,Discrete,Incremental,3B,pin small,0.5,pruned,0.99
English,Continuous,Global,3A,pin,0.362,pruned,0.9
English,Continuous,Global,3A,blue pin,0.638,pruned,0.9
Spanish,Continuous,Global,3A,pin,0.362,pruned,0.9
Spanish,Continuous,Global,3A,pin blue,0.638,pruned,0.9
French,Continuous,Global,3A,pin,0.362,pruned,0.9
French,Continuous,Global,3A,pin blue,0.638,pruned,0.9
Vietnamese,Continuous,Global,3A,pin,0.362,pruned,0.9
Vietnamese,Continuous,Global,3A,pin blue,0.638,pruned,0.9
English,Continuous,Incremental,3A,pin,0.131,pruned,0.9
English,Continuous,Incremental,3A,blue pin,0.869,pruned,0.9
Spanish,Continuous,Incremental,3A,pin,0.131,pruned,0.9
Spanish,Continuous,Incremental,3A,pin blue,0.869,pruned,0.9
French,Continuous,Incremental,3A,pin,0.131,pruned,0.9
French,Continuous,Incremental,3A,pin blue,0.869,pruned,0.9
Vietnamese,Continuous,Incremental,3A,pin,0.131,pruned,0.9
Vietnamese,Continuous,Incremental,3A,pin blue,0.869,pruned,0.9
English,Continuous,Global,3B,pin,0.764,pruned,0.9
English,Continuous,Global,3B,small pin,0.236,pruned,0.9
Spanish,Continuous,Global,3B,pin,0.764,pruned,0.9
Spanish,Continuous,Global,3B,pin small,0.236,pruned,0.9
French,Continuous,Global,3B,pin,0.764,pruned,0.9
French,Continuous,Global,3B,small pin,0.236,pruned,0.9
Vietnamese,Continuous,Global,3B,pin,0.764,pruned,0.9
Vietnamese,Continuous,Global,3B,pin small,0.236,pruned,0.9
English,Continuous,Incremental,3B,pin,0.189,pruned,0.9
English,Continuous,Incremental,3B,small pin,0.811,pruned,0.9
Spanish,Continuous,Incremental,3B,pin,0.189,pruned,0.9
Spanish,Continuous,Incremental,3B,pin small,0.811,pruned,0.9
French,Continuous,Incremental,3B,pin,0.189,pruned,0.9
French,Continuous,Incremental,3B,small pin,0.811,pruned,0.9
Vietnamese,Continuous,Incremental,3B,pin,0.189,pruned,0.9
Vietnamese,Continuous,Incremental,3B,pin small,0.811,pruned,0.9
English,Continuous,Global,5A,pin,0,full,0.99
English,Continuous,Global,5A,small pin,0.128,full,0.99
English,Continuous,Global,5A,blue pin,0.244,full,0.99
English,Continuous,Global,5A,small blue pin,0.629,full,0.99
Spanish,Continuous,Global,5A,pin,0,full,0.99
Spanish,Continuous,Global,5A,pin small,0.128,full,0.99
Spanish,Continuous,Global,5A,pin blue,0.244,full,0.99
Spanish,Continuous,Global,5A,pin blue small,0.629,full,0.99
French,Continuous,Global,5A,pin,0,full,0.99
French,Continuous,Global,5A,small pin,0.128,full,0.99
French,Continuous,Global,5A,pin blue,0.244,full,0.99
French,Continuous,Global,5A,small pin blue,0.629,full,0.99
Vietnamese,Continuous,Global,5A,pin,0,full,0.99
Vietnamese,Continuous,Global,5A,pin small,0.078,full,0.99
Vietnamese,Continuous,Global,5A,pin blue,0.15,full,0.99
Vietnamese,Continuous,Global,5A,pin small and blue,0.386,full,0.99
Vietnamese,Continuous,Global,5A,pin blue and small,0.386,full,0.99
English,Continuous,Incremental,5A,pin,0,full,0.99
English,Continuous,Incremental,5A,small pin,0.017,full,0.99
English,Continuous,Incremental,5A,blue pin,0.185,full,0.99
English,Continuous,Incremental,5A,small blue pin,0.798,full,0.99
Spanish,Continuous,Incremental,5A,pin,0,full,0.99
Spanish,Continuous,Incremental,5A,pin small,0.469,full,0.99
Spanish,Continuous,Incremental,5A,pin blue,0.013,full,0.99
Spanish,Continuous,Incremental,5A,pin blue small,0.518,full,0.99
French,Continuous,Incremental,5A,pin,0,full,0.99
French,Continuous,Incremental,5A,small pin,0.021,full,0.99
French,Continuous,Incremental,5A,pin blue,0,full,0.99
French,Continuous,Incremental,5A,small pin blue,0.978,full,0.99
Vietnamese,Continuous,Incremental,5A,pin,0,full,0.99
Vietnamese,Continuous,Incremental,5A,pin small,0.017,full,0.99
Vietnamese,Continuous,Incremental,5A,pin blue,0.092,full,0.99
Vietnamese,Continuous,Incremental,5A,pin small and blue,0.798,full,0.99
Vietnamese,Continuous,Incremental,5A,pin blue and small,0.092,full,0.99
English,Discrete,Global,5A,pin,0,full,0.99
English,Discrete,Global,5A,small pin,0.496,full,0.99
English,Discrete,Global,5A,blue pin,0.009,full,0.99
English,Discrete,Global,5A,small blue pin,0.496,full,0.99
Spanish,Discrete,Global,5A,pin,0,full,0.99
Spanish,Discrete,Global,5A,pin small,0.496,full,0.99
Spanish,Discrete,Global,5A,pin blue,0.009,full,0.99
Spanish,Discrete,Global,5A,pin blue small,0.496,full,0.99
French,Discrete,Global,5A,pin,0,full,0.99
French,Discrete,Global,5A,small pin,0.496,full,0.99
French,Discrete,Global,5A,pin blue,0.009,full,0.99
French,Discrete,Global,5A,small pin blue,0.496,full,0.99
Vietnamese,Discrete,Global,5A,pin,0,full,0.99
Vietnamese,Discrete,Global,5A,pin small,0.331,full,0.99
Vietnamese,Discrete,Global,5A,pin blue,0.006,full,0.99
Vietnamese,Discrete,Global,5A,pin small and blue,0.331,full,0.99
Vietnamese,Discrete,Global,5A,pin blue and small,0.331,full,0.99
English,Discrete,Incremental,5A,pin,0,full,0.99
English,Discrete,Incremental,5A,small pin,0.496,full,0.99
English,Discrete,Incremental,5A,blue pin,0.008,full,0.99
English,Discrete,Incremental,5A,small blue pin,0.496,full,0.99
Spanish,Discrete,Incremental,5A,pin,0,full,0.99
Spanish,Discrete,Incremental,5A,pin small,0.992,full,0.99
Spanish,Discrete,Incremental,5A,pin blue,0,full,0.99
Spanish,Discrete,Incremental,5A,pin blue small,0.008,full,0.99
French,Discrete,Incremental,5A,pin,0,full,0.99
French,Discrete,Incremental,5A,small pin,0.5,full,0.99
French,Discrete,Incremental,5A,pin blue,0,full,0.99
French,Discrete,Incremental,5A,small pin blue,0.5,full,0.99
Vietnamese,Discrete,Incremental,5A,pin,0,full,0.99
Vietnamese,Discrete,Incremental,5A,pin small,0.496,full,0.99
Vietnamese,Discrete,Incremental,5A,pin blue,0.004,full,0.99
Vietnamese,Discrete,Incremental,5A,pin small and blue,0.496,full,0.99
Vietnamese,Discrete,Incremental,5A,pin blue and small,0.004,full,0.99
English,Continuous,Global,5B,pin,0,full,0.99
English,Continuous,Global,5B,small pin,0.001,full,0.99
English,Continuous,Global,5B,blue pin,0.892,full,0.99
English,Continuous,Global,5B,small blue pin,0.106,full,0.99
Spanish,Continuous,Global,5B,pin,0,full,0.99
Spanish,Continuous,Global,5B,pin small,0.001,full,0.99
Spanish,Continuous,Global,5B,pin blue,0.892,full,0.99
Spanish,Continuous,Global,5B,pin blue small,0.106,full,0.99
French,Continuous,Global,5B,pin,0,full,0.99
French,Continuous,Global,5B,small pin,0.001,full,0.99
French,Continuous,Global,5B,pin blue,0.892,full,0.99
French,Continuous,Global,5B,small pin blue,0.106,full,0.99
Vietnamese,Continuous,Global,5B,pin,0,full,0.99
Vietnamese,Continuous,Global,5B,pin small,0.001,full,0.99
Vietnamese,Continuous,Global,5B,pin blue,0.807,full,0.99
Vietnamese,Continuous,Global,5B,pin small and blue,0.096,full,0.99
Vietnamese,Continuous,Global,5B,pin blue and small,0.096,full,0.99
English,Continuous,Incremental,5B,pin,0,full,0.99
English,Continuous,Incremental,5B,small pin,0,full,0.99
English,Continuous,Incremental,5B,blue pin,0.998,full,0.99
English,Continuous,Incremental,5B,small blue pin,0.002,full,0.99
Spanish,Continuous,Incremental,5B,pin,0,full,0.99
Spanish,Continuous,Incremental,5B,pin small,0.002,full,0.99
Spanish,Continuous,Incremental,5B,pin blue,0.282,full,0.99
Spanish,Continuous,Incremental,5B,pin blue small,0.717,full,0.99
French,Continuous,Incremental,5B,pin,0,full,0.99
French,Continuous,Incremental,5B,small pin,0.001,full,0.99
French,Continuous,Incremental,5B,pin blue,0.008,full,0.99
French,Continuous,Incremental,5B,small pin blue,0.991,full,0.99
Vietnamese,Continuous,Incremental,5B,pin,0,full,0.99
Vietnamese,Continuous,Incremental,5B,pin small,0.001,full,0.99
Vietnamese,Continuous,Incremental,5B,pin blue,0.282,full,0.99
Vietnamese,Continuous,Incremental,5B,pin small and blue,0.001,full,0.99
Vietnamese,Continuous,Incremental,5B,pin blue and small,0.717,full,0.99
English,Discrete,Global,5B,pin,0,full,0.99
English,Discrete,Global,5B,small pin,0.009,full,0.99
English,Discrete,Global,5B,blue pin,0.496,full,0.99
English,Discrete,Global,5B,small blue pin,0.496,full,0.99
Spanish,Discrete,Global,5B,pin,0,full,0.99
Spanish,Discrete,Global,5B,pin small,0.009,full,0.99
Spanish,Discrete,Global,5B,pin blue,0.496,full,0.99
Spanish,Discrete,Global,5B,pin blue small,0.496,full,0.99
French,Discrete,Global,5B,pin,0,full,0.99
French,Discrete,Global,5B,small pin,0.009,full,0.99
French,Discrete,Global,5B,pin blue,0.496,full,0.99
French,Discrete,Global,5B,small pin blue,0.496,full,0.99
Vietnamese,Discrete,Global,5B,pin,0,full,0.99
Vietnamese,Discrete,Global,5B,pin small,0.006,full,0.99
Vietnamese,Discrete,Global,5B,pin blue,0.331,full,0.99
Vietnamese,Discrete,Global,5B,pin small and blue,0.331,full,0.99
Vietnamese,Discrete,Global,5B,pin blue and small,0.331,full,0.99
English,Discrete,Incremental,5B,pin,0,full,0.99
English,Discrete,Incremental,5B,small pin,0,full,0.99
English,Discrete,Incremental,5B,blue pin,0.992,full,0.99
English,Discrete,Incremental,5B,small blue pin,0.008,full,0.99
Spanish,Discrete,Incremental,5B,pin,0,full,0.99
Spanish,Discrete,Incremental,5B,pin small,0.008,full,0.99
Spanish,Discrete,Incremental,5B,pin blue,0.496,full,0.99
Spanish,Discrete,Incremental,5B,pin blue small,0.496,full,0.99
French,Discrete,Incremental,5B,pin,0,full,0.99
French,Discrete,Incremental,5B,small pin,0.008,full,0.99
French,Discrete,Incremental,5B,pin blue,0,full,0.99
French,Discrete,Incremental,5B,small pin blue,0.992,full,0.99
Vietnamese,Discrete,Incremental,5B,pin,0,full,0.99
Vietnamese,Discrete,Incremental,5B,pin small,0.004,full,0.99
Vietnamese,Discrete,Incremental,5B,pin blue,0.496,full,0.99
Vietnamese,Discrete,Incremental,5B,pin small and blue,0.004,full,0.99
Vietnamese,Discrete,Incremental,5B,pin blue and small,0.496,full,0.99
