gameid	Trial	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	NumSameDistractors	SceneVariation	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	ColorTypicality	OtherColorTypicality	OtherColor	TypicalityDiff	normTypicality	ColorTypicalityModified	ColorTypicalityUnModified	OtherColorTypicalityModified	OtherColorTypicalityUnModified	TypicalityDiffModified	normTypicalityModified	TypicalityDiffUnModified	normTypicalityUnModified
mPqh89q4SWXjgYhPf	29	small_brown_jacket	size and color	redundant	color	size redundant	2	1	0.5	the small brown shirt	NA	the small brown shirt	0	1	jacket	small	brown	TRUE	TRUE	FALSE	FALSE	TRUE	0.703125	0.48625	green	0.21687499999999998	0.5911718339464004	0.667142857142857	0.571	0.663181818181818	0.64	0.003961038961039054	0.501488748962757	-0.06900000000000006	0.4715111478117259
mPqh89q4SWXjgYhPf	31	big_white_shoe	size and color	redundant	size	color redundant	4	3	0.25	the biggest white shoe	NA	the biggest white shoe	0	1	shoe	big	white	TRUE	TRUE	TRUE	FALSE	TRUE	0.6905	0.3075	yellow	0.383	0.6918837675350702	0.688947368421053	0.67125	0.65	0.486666666666667	0.03894736842105295	0.5145440251572329	0.184583333333333	0.5797049298308743
mPqh89q4SWXjgYhPf	33	small_red_bellpepper	color	minimal	color	size redundant	4	1	0.75	the red pepper	NA	the red pepper	1	0	bellpepper	small	red	TRUE	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mPqh89q4SWXjgYhPf	35	small_purple_rug	size and color	redundant	size	color redundant	3	1	0.6666666666666666	the smallest purple rug	NA	the smallest purple rug	0	1	rug	small	purple	TRUE	TRUE	TRUE	FALSE	TRUE	0.288095238095238	0.604736842105263	blue	-0.316641604010025	0.3226757242308556	0.817222222222222	0.577142857142857	0.72	0.665454545454546	0.09722222222222199	0.5316226960607155	-0.08831168831168901	0.46446488294314353
mPqh89q4SWXjgYhPf	36	small_green_pepper	size and color	redundant	size	color redundant	2	1	0.5	the smallest green pepper	NA	the smallest green pepper	0	1	pepper	small	green	TRUE	TRUE	TRUE	FALSE	TRUE	0.873125	0.922916666666667	red	-0.04979166666666701	0.48613849901403544	0.8	0.8875	0.88875	0.847857142857143	-0.08875	0.47372316802368614	0.03964285714285698	0.5114221033134388
mPqh89q4SWXjgYhPf	37	big_pink_weddingcake	size	minimal	size	color redundant	2	2	0	the biggest cake	NA	the biggest cake	1	0	weddingcake	big	pink	FALSE	TRUE	FALSE	FALSE	TRUE	0.400416666666667	0.88625	white	-0.485833333333333	0.3112046632124354	0.760666666666667	0.443333333333333	0.781739130434783	0.745384615384615	-0.021072463768116	0.49316896247157643	-0.30205128205128196	0.3729508196721311
mPqh89q4SWXjgYhPf	40	small_grey_rock	color	minimal	color	size redundant	4	4	0	the one thats really gray	NA	the one thats really gray	1	0	rock	small	grey	TRUE	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mPqh89q4SWXjgYhPf	41	big_green_chair	size	minimal	size	color redundant	2	2	0	the biggest one	NA	the biggest one	1	0	chair	big	green	FALSE	TRUE	FALSE	TRUE	TRUE	0.164210526315789	0.606190476190476	red	-0.4419799498746869	0.2131494193044662	0.703333333333333	0.409166666666667	0.692777777777778	0.678	0.010555555555554985	0.5037803422204534	-0.26883333333333304	0.3763605702897442
mPqh89q4SWXjgYhPf	45	small_yellow_balloon	size and color	redundant	size	color redundant	3	1	0.6666666666666666	the small yellow balloon	NA	the small yellow balloon	0	1	balloon	small	yellow	TRUE	TRUE	TRUE	FALSE	TRUE	0.661111111111111	0.693181818181818	pink	-0.03207070707070703	0.48815961215737463	0.892727272727273	0.813333333333333	0.85258064516129	0.851111111111111	0.040146627565983084	0.5115013021927247	-0.03777777777777802	0.4886515353805073
mPqh89q4SWXjgYhPf	46	small_green_binder	size	minimal	size	color redundant	4	4	0	the smallest one	NA	the smallest one	1	0	binder	small	green	FALSE	TRUE	FALSE	TRUE	TRUE	0.588181818181818	0.765555555555556	blue	-0.17737373737373796	0.4344873899417995	0.676153846153846	0.5825	0.673529411764706	0.642222222222222	0.0026244343891399513	0.5009722408475257	-0.05972222222222201	0.4756180539804945
mPqh89q4SWXjgYhPf	48	small_red_bucket	size and color	redundant	size	color redundant	3	2	0.3333333333333333	smallest red bucket	NA	smallest red bucket	0	1	bucket	small	red	TRUE	TRUE	TRUE	FALSE	FALSE	0.802857142857143	0.351923076923077	pink	0.45093406593406604	0.6952467050482943	0.913076923076923	0.741428571428571	0.735357142857143	0.5025	0.17771978021977997	0.5539056380514307	0.23892857142857105	0.5960378983634795
mPqh89q4SWXjgYhPf	59	small_blue_toothbrush	color	minimal	color	size redundant	3	2	0.3333333333333333	the blue one	NA	the blue one	1	0	toothbrush	small	blue	TRUE	FALSE	FALSE	TRUE	TRUE	0.776315789473684	0.752380952380952	red	0.02393483709273192	0.5078285105336503	0.848888888888889	0.801428571428571	0.698947368421053	0.617142857142857	0.14994152046783604	0.5484358470606014	0.18428571428571405	0.564954682779456
mPqh89q4SWXjgYhPf	61	big_pink_teacup	color	minimal	color	size redundant	2	2	0	the pink one	NA	the pink one	1	0	teacup	big	pink	TRUE	FALSE	FALSE	TRUE	TRUE	0.194615384615385	0.852592592592593	white	-0.657977207977208	0.1858421525151674	0.581111111111111	0.59	0.870952380952381	0.912	-0.28984126984127	0.4001967643200699	-0.32200000000000006	0.3928095872170439
mPqh89q4SWXjgYhPf	62	small_purple_flower	color	minimal	color	size redundant	4	4	0	the purple one	NA	the purple one	1	0	flower	small	purple	TRUE	FALSE	FALSE	TRUE	TRUE	0.813703703703704	0.839230769230769	red	-0.025527065527064963	0.492278258471509	0.788947368421053	0.750714285714286	0.832857142857143	0.828333333333333	-0.04390977443609001	0.4864626796476589	-0.07761904761904703	0.47542219541616426
mPqh89q4SWXjgYhPf	66	small_purple_coathanger	size	minimal	size	color redundant	3	3	0	the smallest one	NA	the smallest one	1	0	coathanger	small	purple	FALSE	TRUE	FALSE	TRUE	TRUE	0.19136363636363601	0.187777777777778	orange	0.003585858585858026	0.5047289196749692	0.574166666666667	0.407	0.479473684210526	0.3	0.09469298245614105	0.5449361029013865	0.10699999999999998	0.5756718528995757
mPqh89q4SWXjgYhPf	67	big_red_bike	color	minimal	color	size redundant	3	2	0.3333333333333333	the red bike	NA	the red bike	1	0	bike	big	red	TRUE	FALSE	TRUE	FALSE	TRUE	0.868	0.349	purple	0.519	0.7132292522596548	0.814736842105263	0.76	0.701666666666667	0.625	0.11307017543859599	0.5372823508995197	0.135	0.5487364620938628
mPqh89q4SWXjgYhPf	68	small_black_comb	size and color	redundant	color	size redundant	3	1	0.6666666666666666	the smallest black comb	NA	the smallest black comb	0	1	comb	small	black	TRUE	TRUE	TRUE	FALSE	TRUE	0.937058823529412	0.67695652173913	blue	0.26010230179028204	0.5805761551625787	0.968666666666667	0.913333333333333	0.7292	0.762727272727273	0.23946666666666705	0.5705198680697346	0.15060606060605997	0.544928584342795
mPqh89q4SWXjgYhPf	69	big_red_tack	color	minimal	color	size redundant	3	3	0	the red one	NA	the red one	1	0	tack	big	red	TRUE	FALSE	FALSE	TRUE	TRUE	0.781666666666667	0.705625	blue	0.07604166666666701	0.5255638044544055	0.88	0.835	0.794	0.875714285714286	0.08599999999999997	0.5256869772998806	-0.040714285714286036	0.48810020876826715
mPqh89q4SWXjgYhPf	70	small_black_book	color	minimal	color	size redundant	3	3	0	the black one	NA	the black one	1	0	book	small	black	TRUE	FALSE	FALSE	TRUE	TRUE	0.853684210526316	0.67952380952381	blue	0.17416040100250607	0.5567960768287697	0.85304347826087	0.709230769230769	0.775	0.757857142857143	0.07804347826086999	0.5239684871144347	-0.04862637362637401	0.4834275869817608
mPqh89q4SWXjgYhPf	71	small_orange_napkin	size	minimal	size	color redundant	3	2	0.3333333333333333	the smallest one	NA	the smallest one	1	0	napkin	small	orange	FALSE	TRUE	FALSE	TRUE	TRUE	0.464347826086957	0.347058823529412	yellow	0.11728900255754504	0.5722751055916284	0.705384615384615	0.72125	0.786666666666667	0.622	-0.0812820512820519	0.4727616428939679	0.09924999999999995	0.5369439791550344
mPqh89q4SWXjgYhPf	72	big_purple_stapler	size and color	redundant	size	color redundant	4	1	0.75	the biggest purple stapler	great directing, thank you!	the biggest purple stapler	0	1	stapler	big	purple	TRUE	TRUE	TRUE	FALSE	TRUE	0.326666666666667	0.531052631578947	red	-0.20438596491228	0.3808549805686238	0.772727272727273	0.702222222222222	0.8605	0.594444444444444	-0.087772727272727	0.47312905290696067	0.10777777777777797	0.541559554413025
LhezHLLzMBjSPJrwD	1	small_black_belt	color	minimal	color	size redundant	3	2	0.3333333333333333	Black belt	Hi	Black belt	1	0	belt	small	black	TRUE	FALSE	TRUE	FALSE	FALSE	0.909130434782609	0.870588235294118	brown	0.038542199488491025	0.5108281719286648	0.877894736842105	0.928181818181818	0.81625	0.782142857142857	0.06164473684210492	0.5181934682148265	0.14603896103896097	0.5426933444701773
LhezHLLzMBjSPJrwD	2	small_yellow_shoe	color	minimal	color	size redundant	4	1	0.75	yellow shoe	hi	yellow shoe	1	0	shoe	small	yellow	TRUE	FALSE	TRUE	FALSE	FALSE	0.3075	0.6905	white	-0.383	0.30811623246492986	0.65	0.486666666666667	0.688947368421053	0.67125	-0.03894736842105295	0.4854559748427672	-0.184583333333333	0.4202950701691258
LhezHLLzMBjSPJrwD	6	small_white_pingpongball	size	minimal	size	color redundant	3	2	0.3333333333333333	smallest ball	NA	smallest ball	1	0	pingpongball	small	white	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
