workerid,proliferate.condition,object,response,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.bcsPrimaryLanguageSchool,subject_information.comments,subject_information.country,subject_information.dialectOne,subject_information.dialectTwo,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.firstLanguage,subject_information.gender,subject_information.liveInYugo,subject_information.otherLanguage,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
158,condition1,blue_candle,sveca,9778,23,candle,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,red_ring,prsten,5044,24,ring,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,orange_remote,daljinski,6902,25,remote,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,orange_ribbon,masna,5025,26,ribbon,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,green_hammer,cekic,4906,27,hammer,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,green_shell,skoljka,5115,28,shell,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,white_shirt,majica,28189,29,shirt,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,white_clock,jedan sat,25603,30,clock,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,black_duck,patkica,5248,31,duck,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,black_bonbon,bonbona,7878,32,bonbon,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,red_crown,kruna,4487,33,crown,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,orange_lock,katanac,21231,34,lock,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,red_ornament,ne znam,16585,35,ornament,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,yellow_cap,kacket,5979,36,cap,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,orange_microscope,mikroskop,8689,37,microscope,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,yellow_lamp,lampa,3448,38,lamp,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,black_calendar,kalendar,5166,39,calendar,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,green_bowl,zdjela,21441,40,bowl,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,orange_truck,kamijon,3931,41,truck,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
