"","gameid","roundNum","condition","targetName","gloss","pos_sequence","mouthing","pointing","notes","language","attempt","pos"
"48","0031-a",32,"size_sufficient","glove_small_orange","smallest red gloves","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"49","0031-a",33,"color_sufficient","lock_small_gold","yellow lock","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"50","0031-a",35,"color_sufficient","shoe_big_yellow","yellow shoe man shoe","color noun mod2 noun",NA,NA,NA,"Turkish","attempt1","color noun mod2 noun"
"51","0031-a",39,"size_sufficient","flower_small_pink","smallest red flower","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"52","0031-a",45,"size_sufficient","bag_small_blue","blue small bag","color size noun",NA,NA,NA,"Turkish","attempt1","color size noun"
"53","0031-a",46,"color_sufficient","lipstick_big_red","red lipstick, no red i-mean that pink little light red not but other red, weird red","color noun, neg color noun2 color2 mod2 color2 neg mod3 color, mod4 color",NA,NA,"kirmizi ruj kirmizi, hayir kirmizi derken o pembe biraz acik kirmizi degil de obur kirmizi, degisik kirmizi","Turkish","attempt1","color noun"
"54","0031-a",47,"color_sufficient","toothbrush_big_green","green toothbrush","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"55","0031-a",48,"size_sufficient","car_small_green","small green car","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"56","0031-a",49,"size_sufficient","baloon_small_yellow","smallest yellow balloon","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"57","0031-a",52,"size_sufficient","chair_small_blue","small smallest blue chair","size size color noun",NA,NA,NA,"Turkish","attempt1","size size color noun"
"58","0031-a",53,"size_sufficient","key_small_silver","smallest gray key","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"59","0031-a",55,"color_sufficient","pants_small_pink","pink pants","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"60","0031-a",58,"size_sufficient","cat_big_black","biggest black cat","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"61","9173-1",7,"color_sufficient","scissors_small_green","tshirt scissors scissors ?, small scissors red not red, color, point(green)","noun2 noun noun ?, size noun color2 neg color2, COLOR, color",NA,"1","check order of color and negation again","CTSL","attempt1","noun2 noun noun ?"
"62","9173-1",8,"size_sufficient","balloon_big_pink","baloon point(pink) big, big","noun color size, size",NA,"1",NA,"CTSL","attempt1","noun color size"
"63","9173-1",13,"color_sufficient","pepper_big_green","pepper hot pepper hot point(green)","noun mod2 noun mod2 color",NA,"1",NA,"CTSL","attempt1","noun mod2 noun mod2 color"
"64","9173-1",14,"size_sufficient","dress_small_blue","dress small point(blue) small, small","noun size color size, size",NA,"1",NA,"CTSL","attempt1","noun size color size"
"65","9173-1",15,"color_sufficient","shoe_big_yellow","shoe big point(yellow)","noun size color",NA,"1",NA,"CTSL","attempt1","noun size color"
"66","9173-1",16,"size_sufficient","bag_small_blue","point(blue) pencil bag small point(blue)","color noun2 noun size color",NA,"1",NA,"CTSL","attempt1","color noun2 noun size color"
"67","9173-1",18,"color_sufficient","toothbrush_big_green","toothbrush point(green) toothbrush","noun color noun",NA,"1",NA,"CTSL","attempt1","noun color noun"
"68","9173-1",20,"color_sufficient","tie_big_blue","point(blue) tie striped tie","color noun mod2 noun",NA,"1",NA,"CTSL","attempt1","color noun mod2 noun"
"69","9173-1",22,"size_sufficient","key_big_silver","key small key small, point(color) big","noun size2 noun size2, color size",NA,"1","does he sign small or big?","CTSL","attempt1","noun size2 noun size2"
"70","9173-1",25,"color_sufficient","pants_small_pink","point(pink) pants","color noun",NA,"1",NA,"CTSL","attempt1","color noun"
"71","9173-1",27,"color_sufficient","skirt_big_blue","point(blue) skirt","color noun",NA,"1",NA,"CTSL","attempt1","color noun"
"72","9173-1",28,"size_sufficient","flower_big_yellow","flower point(yellow) flower big flower big","noun color noun size noun size",NA,"1",NA,"CTSL","attempt1","noun color noun size noun size"
"73","9173-1",30,"size_sufficient","button_big_green","point(button) point(green) big point(button) big point(green)","noun color size noun size color",NA,"1",NA,"CTSL","attempt1","noun color size noun size color"
"74","9173-1",33,"size_sufficient","glove_small_orange","point(red) glove small","color noun size",NA,"1",NA,"CTSL","attempt1","color noun size"
"75","9173-1",36,"size_sufficient","glasses_small_blue","point(blue) glasses small","color noun size",NA,"1",NA,"CTSL","attempt1","color noun size"
"76","9173-1",37,"size_sufficient","apple_big_green","apple point(green) apple apple, point(screen) big","noun color noun noun, loc size",NA,"1",NA,"CTSL","attempt1","noun color noun noun"
"77","9173-1",38,"color_sufficient","pot_big_green","point(green) flame pot","color noun2 noun",NA,"1",NA,"CTSL","attempt1","color noun2 noun"
"78","9173-1",39,"size_sufficient","clock_big_purple","clock big point(purple) big clock big","noun size color size noun size",NA,"1",NA,"CTSL","attempt1","noun size color size noun size"
"79","9173-1",40,"color_sufficient","umbrella_big_blue","point(blue) rain umbrella","color noun2 noun",NA,"1",NA,"CTSL","attempt1","color noun2 noun"
"80","9173-1",41,"size_sufficient","cat_small_black","cat point(blue) small","noun color size",NA,"1",NA,"CTSL","attempt1","noun color size"
"81","9173-1",42,"size_sufficient","car_big_green","car point(green) big big","noun color size size",NA,"1",NA,"CTSL","attempt1","noun color size size"
"82","9173-1",45,"color_sufficient","lighter_small_white","lighter cigarette lighter small point(white) small","noun noun2 noun size color size",NA,"1",NA,"CTSL","attempt1","noun noun2 noun size color size"
"83","9173-1",47,"color_sufficient","socks_small_green","socks point(green) small","noun color size",NA,"1",NA,"CTSL","attempt1","noun color size"
"84","9173-1",49,"size_sufficient","brush_big_red","point(blue) brush big","color noun size",NA,"1",NA,"CTSL","attempt1","color noun size"
"85","9173-1",54,"size_sufficient","chair_big_yellow","point(yellow) sit big, big big","color verb2 size, size size",NA,"1",NA,"CTSL","attempt1","color verb2 size"
"86","9173-1",55,"size_sufficient","ball_big_yellow","point(yellow) ball, big","color noun, size",NA,"1",NA,"CTSL","attempt1","color noun"
"87","9173-1",59,"color_sufficient","lock_big_gold","point(yellow) lock lock","color noun noun",NA,"1",NA,"CTSL","attempt1","color noun noun"
"88","9173-1",60,"size_sufficient","knife_small_blue","point(blue) knife small small","color noun size size",NA,"1",NA,"CTSL","attempt1","color noun size size"
"89","5101-0",7,"color_sufficient","umbrella_small_blue","umbrella blue","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"90","5101-0",11,"size_sufficient","apple_big_green","green apple, big","color noun, size",NA,NA,NA,"Turkish","attempt1","color noun"
"91","5101-0",12,"size_sufficient","balloon_big_yellow","yellow baloon big","color noun size",NA,NA,NA,"Turkish","attempt1","color noun size"
"92","5101-0",13,"color_sufficient","tshirt_big_yellow","yellow tshirt","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"93","5101-0",15,"color_sufficient","tie_big_blue","blue tie","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"94","5101-0",17,"size_sufficient","brush_big_blue","blue brush, big","color noun, size",NA,NA,NA,"Turkish","attempt1","color noun"
"95","5101-0",18,"size_sufficient","car_big_green","green, big","color, size",NA,NA,NA,"Turkish","attempt1","color"
"96","5101-0",21,"color_sufficient","socks_small_blue","blue socks small","color noun size",NA,NA,NA,"Turkish","attempt1","color noun size"
"97","5101-0",22,"color_sufficient","toothbrush_big_green","green brush","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"98","5101-0",23,"size_sufficient","flower_small_yellow","yellow flower, small","color noun, size",NA,NA,NA,"Turkish","attempt1","color noun"
