workerid,proliferate.condition,time_in_minutes,error
463,condition1,33.476866666666666,
382,condition1,24.4528,
340,condition1,11.860083333333334,
442,condition1,29.265083333333333,
321,condition1,22.771216666666668,
372,condition1,10.71925,
401,condition1,21.95385,
441,condition1,18.39195,
412,condition1,18.733216666666667,
445,condition1,20.69195,
300,condition1,23.145666666666667,
389,condition1,15.0624,
381,condition1,22.910016666666667,
446,condition1,17.45485,
436,condition1,29.93016666666667,
296,condition1,12.0474,
357,condition1,26.63671666666667,
360,condition1,12.658266666666666,
298,condition1,24.901333333333337,
363,condition1,22.889983333333333,
394,condition1,22.984616666666668,
409,condition1,19.2458,
309,condition1,25.63175,
373,condition1,15.550583333333334,
404,condition1,45.0009,
375,condition1,38.0645,
333,condition1,8.138733333333333,
337,condition1,43.601533333333336,
386,condition1,16.845216666666666,
407,condition1,36.312666666666665,
422,condition1,24.628883333333334,
402,condition1,23.196233333333332,
308,condition1,25.497533333333333,
303,condition1,29.078983333333333,
323,condition1,21.59885,
379,condition1,26.11945,
435,condition1,23.274033333333332,
295,condition1,16.44115,
378,condition1,9.418683333333334,
348,condition1,12.618016666666668,
335,condition1,11.648483333333331,
352,condition1,22.5722,
413,condition1,11.225366666666666,
294,condition1,43.53041666666667,
302,condition1,18.800133333333335,
460,condition1,10.2523,
369,condition1,11.9221,
433,condition1,25.201516666666667,
455,condition1,13.039816666666669,
354,condition1,7.992433333333333,
380,condition1,19.658416666666668,
432,condition1,29.861866666666668,
429,condition1,28.98335,
408,condition1,32.70105,
326,condition1,39.30285,
410,condition1,23.032883333333334,
414,condition1,16.080433333333332,
297,condition1,42.58646666666667,
400,condition1,14.21885,
346,condition1,6.406166666666667,
423,condition1,21.110233333333333,
461,condition1,28.5322,
462,condition1,12.258916666666666,
310,condition1,22.695516666666663,
