gameId,roundNumber,condition,BDASize,BDAColor,BDAOtherColor,BDAItem,redBDAUtterance
zEvfWFiJr3aGqiCxS,1,size_basic_filler_3_m,size,color,othercolor,item,color
zEvfWFiJr3aGqiCxS,2,color_same_diff_m,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,3,color_basic_target_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,4,size_basic_filler_3_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,5,size_same_diff_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,6,size_diff_same_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,8,color_same_same_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,9,color_basic_filler_2_m,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,10,color_basic_target_m,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,11,size_basic_target_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,12,size_diff_diff_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,13,color_diff_same_m,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,14,size_basic_filler_1_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,15,size_same_same_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,16,color_basic_filler_1_m,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,18,size_basic_target_m,size,color,othercolor,item,color
zEvfWFiJr3aGqiCxS,20,size_basic_filler_1_m,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,21,color_same_same_m,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,22,color_diff_same_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,23,size_diff_same_m,size,color,othercolor,item,color
zEvfWFiJr3aGqiCxS,24,color_diff_diff_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,25,size_basic_filler_2_m,size,color,othercolor,item,color
zEvfWFiJr3aGqiCxS,26,color_diff_diff_m,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,27,size_same_diff_m,size,color,othercolor,item,color
zEvfWFiJr3aGqiCxS,28,size_diff_diff_m,size,color,othercolor,item,color
zEvfWFiJr3aGqiCxS,29,color_same_diff_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,30,size_same_same_m,size,color,othercolor,item,color
zEvfWFiJr3aGqiCxS,31,color_basic_filler_1_f,size,color,othercolor,item,size_color
zEvfWFiJr3aGqiCxS,32,size_basic_filler_2_f,size,color,othercolor,item,color
eix4s2X9tYx4PSFfr,1,color_same_same_f,size,color,othercolor,item,size_color
